frame_num,x,y,w,h,x_c,y_c,confidence
1,1043,646,179,69,1132,681,0.96
1,321,892,213,81,428,933,0.95
1,1293,917,206,91,1397,963,0.95
1,624,924,106,43,677,946,0.92
1,0,525,106,73,53,562,0.92
2,1043,647,179,68,1133,681,0.96
2,1293,916,207,91,1397,962,0.95
2,331,895,209,79,436,935,0.94
2,0,528,106,71,53,564,0.93
2,630,924,104,41,683,945,0.92
2,1444,562,450,193,1669,659,0.61
3,1043,646,179,68,1132,681,0.96
3,1294,917,206,90,1397,962,0.95
3,341,894,204,79,443,933,0.95
3,633,924,103,42,685,945,0.93
3,0,525,106,73,53,562,0.91
3,1439,589,427,164,1652,672,0.53
4,1043,646,179,69,1132,681,0.96
4,1295,917,206,90,1398,962,0.95
4,349,895,200,79,449,935,0.95
4,637,925,103,41,689,946,0.93
4,0,524,106,74,53,561,0.91
4,1441,541,471,211,1677,646,0.57
5,1042,643,178,68,1131,677,0.96
5,1297,918,205,89,1400,963,0.95
5,354,898,200,77,454,937,0.95
5,642,926,100,41,692,947,0.92
5,0,518,108,79,54,558,0.92
5,1437,551,475,192,1675,647,0.53
6,1041,636,179,69,1131,671,0.96
6,1297,917,206,89,1400,962,0.95
6,363,896,196,76,461,935,0.94
6,646,925,100,41,696,946,0.93
6,0,514,108,75,54,551,0.92
7,1041,633,177,69,1130,668,0.96
7,367,902,196,75,465,940,0.95
7,1299,923,207,87,1403,966,0.94
7,0,514,109,71,55,550,0.92
7,648,929,100,40,698,949,0.92
7,1403,488,512,223,1660,600,0.91
8,1041,622,175,68,1128,656,0.96
8,376,901,191,75,471,939,0.95
8,1301,921,208,87,1405,965,0.95
8,652,929,99,39,702,949,0.92
8,0,500,112,75,56,538,0.91
8,1386,440,488,236,1631,559,0.65
9,1040,608,174,69,1127,643,0.97
9,382,902,189,74,477,940,0.95
9,1303,920,209,86,1408,964,0.94
9,656,925,98,40,705,946,0.93
9,0,488,115,76,57,526,0.91
9,1367,388,361,251,1548,514,0.87
10,1039,596,173,70,1126,631,0.96
10,388,906,186,73,481,943,0.95
10,1305,922,211,84,1410,964,0.94
10,661,915,94,39,709,934,0.94
10,0,476,119,77,59,514,0.92
10,1348,338,495,265,1596,471,0.72
11,1039,583,169,71,1124,619,0.96
11,394,905,184,73,486,941,0.95
11,1306,920,212,87,1413,964,0.94
11,665,904,93,38,712,923,0.93
11,0,463,122,79,61,503,0.93
12,1038,575,170,71,1123,611,0.96
12,1307,905,214,103,1414,956,0.96
12,398,911,183,71,489,947,0.95
12,669,896,91,38,715,915,0.94
12,0,456,124,78,62,495,0.93
13,404,893,181,71,495,929,0.96
13,1037,563,168,75,1122,600,0.96
13,1308,884,214,101,1415,935,0.96
13,0,443,128,84,64,485,0.94
13,672,886,90,36,717,904,0.93
13,1285,209,584,299,1577,359,0.42
14,1309,856,213,103,1415,908,0.96
14,1036,549,166,73,1120,585,0.96
14,414,869,177,70,503,904,0.95
14,0,430,129,78,64,470,0.94
14,676,873,90,37,721,892,0.93
14,1271,157,555,310,1548,312,0.58
15,1036,542,163,74,1118,579,0.96
15,1310,843,215,101,1417,894,0.96
15,418,855,178,70,507,890,0.95
15,0,420,132,81,66,461,0.95
15,676,866,91,36,722,884,0.92
15,1237,130,549,314,1512,287,0.67
16,1036,534,162,75,1117,571,0.96
16,1311,827,216,101,1420,877,0.96
16,426,840,173,70,513,875,0.95
16,0,412,134,80,67,452,0.94
16,1218,96,548,321,1492,257,0.92
16,678,859,90,35,724,877,0.91
17,1034,527,162,73,1115,564,0.96
17,1313,806,218,105,1422,859,0.96
17,0,403,138,80,69,443,0.95
17,433,828,171,68,518,862,0.95
17,681,852,91,36,727,870,0.93
18,1033,524,161,74,1114,561,0.96
18,1315,800,217,103,1424,852,0.96
18,437,820,169,68,522,854,0.95
18,0,398,138,81,69,439,0.94
18,685,848,87,34,728,865,0.9
18,1203,51,508,335,1458,219,0.61
19,1318,782,220,108,1428,836,0.96
19,1033,520,157,72,1112,557,0.96
19,441,808,168,69,526,843,0.95
19,0,390,140,82,70,431,0.95
19,686,842,87,34,730,860,0.93
19,1151,29,516,334,1409,196,0.41
20,1322,768,221,108,1432,822,0.97
20,446,797,167,69,529,832,0.96
20,1033,515,157,73,1112,552,0.95
20,0,384,142,84,71,426,0.94
20,690,837,85,34,732,855,0.91
21,1323,751,223,110,1434,806,0.97
21,1032,508,155,74,1110,546,0.96
21,449,784,167,69,533,819,0.95
21,0,374,143,84,72,416,0.95
21,689,830,87,35,733,848,0.93
21,1100,0,500,322,1350,161,0.74
22,1325,733,225,111,1438,788,0.97
22,1031,502,154,73,1108,539,0.96
22,453,770,163,68,535,805,0.95
22,0,362,146,89,73,407,0.95
22,690,823,87,36,734,841,0.93
23,1328,720,226,113,1442,777,0.97
23,1030,500,153,73,1107,536,0.96
23,0,360,148,88,74,404,0.96
23,456,762,162,67,537,796,0.95
23,689,818,88,36,733,836,0.94
23,1048,0,490,285,1293,142,0.75
24,1330,704,227,115,1444,762,0.97
24,1030,495,152,73,1106,531,0.96
24,458,752,162,68,539,786,0.96
24,0,353,149,88,74,397,0.95
24,694,813,84,37,736,832,0.92
24,1028,0,484,268,1270,134,0.56
25,1336,695,229,117,1451,754,0.97
25,1030,495,150,73,1105,532,0.97
25,460,747,163,68,542,781,0.96
25,0,350,150,87,75,394,0.95
25,693,810,86,37,736,829,0.93
25,996,0,478,260,1235,130,0.59
26,1339,689,233,117,1456,748,0.96
26,0,349,149,88,75,393,0.96
26,1029,497,147,72,1103,533,0.96
26,460,744,162,69,541,779,0.95
26,693,808,87,36,736,826,0.93
27,1343,683,236,120,1461,743,0.96
27,461,743,160,69,541,777,0.96
27,1029,499,147,71,1103,535,0.96
27,0,348,151,88,75,392,0.96
27,692,808,86,36,735,826,0.93
27,945,0,473,253,1182,126,0.75
28,1347,671,239,123,1467,733,0.97
28,0,345,152,87,76,389,0.96
28,461,737,161,68,542,771,0.95
28,1028,498,147,71,1102,534,0.95
28,691,804,87,38,735,823,0.93
28,920,0,461,244,1150,122,0.81
29,1352,656,240,126,1472,720,0.97
29,462,728,159,68,542,762,0.96
29,1026,496,147,71,1100,532,0.95
29,0,340,153,86,76,383,0.95
29,695,799,84,37,737,818,0.91
29,897,0,410,229,1102,114,0.52
30,1356,647,243,128,1478,711,0.97
30,462,722,163,70,543,758,0.96
30,0,337,153,86,77,381,0.96
30,1026,496,144,70,1099,532,0.95
30,693,795,86,38,737,815,0.93
31,1357,627,245,132,1480,693,0.97
31,0,330,155,87,77,374,0.96
31,463,711,162,69,545,746,0.96
31,1027,491,142,71,1098,527,0.95
31,692,790,88,37,736,808,0.92
32,1366,642,248,132,1491,708,0.97
32,1027,505,139,68,1097,539,0.96
32,458,725,161,69,539,760,0.95
32,0,339,155,86,77,382,0.95
32,691,797,87,37,735,816,0.93
32,824,0,405,225,1027,112,0.7
33,1369,623,251,135,1495,691,0.97
33,0,332,154,89,77,376,0.96
33,1026,501,140,68,1097,535,0.96
33,457,713,164,71,540,749,0.95
33,692,790,86,36,735,808,0.92
34,1373,615,255,138,1501,684,0.97
34,0,331,154,88,77,375,0.96
34,1024,503,141,67,1094,537,0.96
34,456,710,165,72,539,746,0.95
34,691,789,87,37,734,808,0.92
35,1379,611,256,138,1507,680,0.96
35,1024,505,139,66,1094,539,0.96
35,0,331,154,86,77,375,0.95
35,454,708,161,72,535,744,0.95
35,688,787,89,37,732,806,0.92
36,1383,605,261,142,1513,677,0.97
36,1025,508,137,65,1093,541,0.96
36,451,706,164,71,533,742,0.96
36,0,330,155,88,77,374,0.95
36,687,786,88,36,732,805,0.93
37,1387,595,264,145,1519,668,0.97
37,448,701,167,72,532,737,0.96
37,0,327,155,89,77,372,0.95
37,1024,508,136,66,1092,541,0.95
37,684,783,90,38,730,803,0.93
38,1392,599,267,145,1526,672,0.97
38,445,704,166,74,528,741,0.96
38,0,330,154,89,77,375,0.95
38,1024,514,137,66,1093,547,0.95
38,683,785,89,38,728,804,0.92
39,1400,612,269,147,1535,685,0.97
39,438,716,170,70,523,751,0.96
39,1024,523,136,64,1092,555,0.95
39,0,339,154,86,77,382,0.95
39,679,790,91,38,725,809,0.91
39,673,0,408,225,877,112,0.5
40,1400,590,272,151,1536,665,0.97
40,437,700,170,73,522,737,0.96
40,0,330,154,88,77,374,0.95
40,1024,518,135,63,1091,550,0.95
40,677,782,93,40,724,802,0.93
41,1406,598,277,152,1545,674,0.96
41,431,707,172,75,517,744,0.96
41,0,336,154,86,77,380,0.95
41,1023,524,134,63,1090,556,0.95
41,672,785,95,41,720,805,0.91
42,1411,601,278,152,1550,677,0.97
42,425,709,174,76,512,747,0.96
42,0,339,154,85,77,382,0.95
42,1023,530,135,61,1091,561,0.95
42,671,786,95,39,719,806,0.92
43,1415,596,281,155,1556,673,0.97
43,420,706,175,76,507,744,0.96
43,0,339,154,85,77,382,0.96
43,1023,530,134,62,1090,561,0.95
43,666,783,97,41,715,804,0.9
44,1420,609,283,153,1562,685,0.97
44,415,713,177,76,504,751,0.96
44,1022,536,134,62,1089,568,0.96
44,0,342,153,89,76,387,0.95
44,664,788,98,40,713,809,0.91
44,570,0,440,240,790,120,0.76
45,1425,614,287,154,1568,691,0.96
45,407,718,181,76,497,756,0.96
45,0,347,151,87,76,391,0.96
45,1022,542,134,61,1089,573,0.95
45,661,789,98,42,710,810,0.91
45,546,0,456,251,774,125,0.81
46,1430,628,289,155,1575,706,0.97
46,398,728,184,77,490,766,0.96
46,0,353,149,87,74,397,0.95
46,1023,550,132,60,1089,580,0.95
46,655,794,102,44,707,816,0.92
46,532,0,461,266,762,133,0.58
47,1433,629,291,157,1579,708,0.97
47,392,728,186,78,485,767,0.96
47,0,354,148,86,74,398,0.95
