frame_num,x,y,w,h,x_c,y_c,confidence
1,1203,395,201,103,1304,447,0.96
1,615,771,99,38,665,790,0.94
1,552,922,127,47,616,945,0.93
1,990,930,89,36,1035,949,0.93
1,920,899,73,27,957,913,0.93
1,1246,937,67,29,1280,951,0.92
2,1203,395,200,103,1304,447,0.96
2,611,772,105,37,664,791,0.94
2,531,921,127,48,594,945,0.94
2,921,899,73,28,958,913,0.93
2,1247,938,72,29,1283,952,0.93
2,983,931,93,37,1030,949,0.93
2,647,941,78,33,686,958,0.89
2,1430,782,138,67,1499,816,0.88
3,1202,395,201,103,1303,446,0.96
3,513,919,126,48,576,944,0.94
3,612,771,103,38,664,790,0.93
3,979,930,91,37,1025,949,0.93
3,1252,936,69,29,1286,951,0.92
3,920,898,75,28,958,912,0.92
3,1437,786,141,64,1507,818,0.89
3,648,940,76,35,686,958,0.87
3,1441,782,126,42,1504,804,0.68
4,1204,393,199,103,1304,445,0.96
4,493,920,130,48,559,944,0.95
4,610,770,104,37,662,788,0.94
4,1254,938,71,28,1289,952,0.93
4,1445,788,138,60,1514,818,0.93
4,920,897,76,29,958,912,0.93
4,975,931,90,37,1020,950,0.92
4,649,941,77,33,687,957,0.82
5,1204,389,196,106,1303,442,0.97
5,611,767,102,38,662,786,0.94
5,474,921,133,47,540,945,0.94
5,1256,938,72,28,1292,952,0.93
5,1452,784,135,62,1520,815,0.92
5,922,896,73,27,959,910,0.92
5,969,933,93,36,1016,951,0.91
5,650,941,77,30,689,957,0.59
6,1203,381,198,108,1302,435,0.97
6,457,917,132,52,523,943,0.94
6,608,763,105,37,660,781,0.93
6,1262,938,65,26,1294,951,0.93
6,1456,779,136,63,1525,811,0.92
6,651,941,77,35,690,959,0.92
6,963,930,93,37,1010,948,0.92
6,923,891,76,29,961,906,0.9
7,1203,377,196,108,1302,431,0.97
7,442,922,134,48,509,946,0.94
7,1261,938,71,30,1296,953,0.94
7,605,760,106,38,659,780,0.94
7,1459,777,136,65,1527,809,0.93
7,960,933,93,37,1007,951,0.93
7,652,943,78,31,691,959,0.91
7,923,890,75,27,961,904,0.9
8,1202,363,196,109,1300,418,0.96
8,418,920,136,50,487,945,0.94
8,604,752,105,38,657,771,0.94
8,1264,938,70,29,1300,953,0.93
8,954,933,96,36,1002,951,0.92
8,926,884,73,27,963,898,0.92
8,1466,766,134,66,1533,799,0.92
8,655,944,77,30,694,959,0.9
9,1200,348,195,110,1298,403,0.97
9,402,915,136,51,470,941,0.94
9,601,742,107,38,655,761,0.94
9,950,933,94,36,998,951,0.93
9,1470,757,132,64,1536,790,0.93
9,1268,938,68,29,1302,953,0.93
9,925,875,78,29,965,890,0.92
9,657,944,77,32,696,960,0.91
10,1201,334,192,111,1297,389,0.97
10,385,899,138,51,454,925,0.94
10,1473,750,131,63,1539,781,0.94
10,947,933,93,37,994,952,0.94
10,600,734,107,38,653,753,0.93
10,1273,941,63,27,1305,955,0.92
10,929,869,76,27,967,883,0.92
10,660,944,76,32,698,961,0.91
11,1199,318,192,111,1295,373,0.97
11,1478,739,128,62,1543,770,0.95
11,371,883,138,50,441,908,0.94
11,596,724,107,38,650,743,0.94
11,943,932,94,37,990,951,0.93
11,1271,935,69,27,1306,949,0.93
11,929,861,78,28,968,875,0.92
11,663,944,76,32,701,960,0.9
12,1198,307,191,113,1294,364,0.97
12,356,871,138,51,425,897,0.95
12,1272,929,70,27,1308,943,0.94
12,931,856,77,28,970,870,0.93
12,938,935,96,37,986,954,0.93
12,1481,733,128,60,1545,763,0.93
12,597,717,104,39,649,737,0.92
12,667,937,76,33,705,954,0.92
13,1197,292,191,114,1293,350,0.97
13,345,856,141,49,415,880,0.94
13,592,708,107,40,645,728,0.94
13,936,926,95,36,983,945,0.94
13,1273,921,69,29,1307,935,0.93
13,935,849,75,29,973,864,0.93
13,1484,722,127,59,1548,751,0.92
13,671,929,76,32,709,946,0.92
14,1195,274,190,115,1290,332,0.97
14,329,835,141,52,400,861,0.94
14,588,696,105,39,641,716,0.94
14,931,912,94,38,979,931,0.94
14,676,919,74,42,713,940,0.94
14,1274,911,71,29,1310,926,0.93
14,1489,709,124,60,1552,740,0.9
14,938,840,75,29,976,854,0.89
15,1195,264,189,116,1290,322,0.97
15,313,822,146,54,386,849,0.95
15,585,689,108,39,639,709,0.94
15,1276,906,68,28,1311,920,0.94
15,926,905,96,36,975,923,0.93
15,680,913,74,40,717,933,0.93
15,942,834,74,29,979,848,0.91
15,1485,703,129,62,1550,734,0.91
16,1194,253,188,116,1288,311,0.97
16,303,809,142,55,375,837,0.95
16,581,682,107,38,635,701,0.94
16,924,896,95,38,972,915,0.93
16,1277,900,69,27,1312,914,0.93
16,684,907,73,40,721,927,0.93
16,1493,697,123,58,1554,726,0.92
16,943,827,75,29,981,842,0.86
17,1192,241,189,118,1287,301,0.97
17,293,797,143,56,365,825,0.95
17,922,887,94,37,970,906,0.94
17,578,673,107,41,631,694,0.94
17,1497,689,121,60,1557,720,0.94
17,1276,894,72,29,1313,908,0.93
17,688,901,73,39,725,921,0.92
17,944,822,78,30,984,837,0.91
18,1192,237,188,118,1287,297,0.97
18,285,790,143,56,357,819,0.95
18,573,670,108,40,627,690,0.94
18,692,897,72,40,728,917,0.93
18,1278,891,70,28,1313,905,0.93
18,1496,686,122,61,1558,717,0.92
18,947,819,78,30,986,834,0.92
18,919,884,97,34,968,902,0.91
19,1191,228,187,118,1285,288,0.97
19,272,779,146,58,345,808,0.95
19,1498,681,122,59,1559,711,0.95
19,698,893,72,39,734,913,0.94
19,568,664,107,39,622,684,0.94
19,917,877,95,36,965,895,0.93
19,952,815,77,28,990,829,0.92
19,1280,887,68,26,1314,900,0.92
20,1192,220,186,119,1285,279,0.97
20,264,769,147,57,338,798,0.95
20,1499,675,122,60,1560,706,0.94
20,563,657,109,43,618,678,0.94
20,1280,882,69,28,1315,896,0.94
20,702,888,72,40,738,908,0.93
20,956,810,75,29,994,825,0.93
20,914,870,95,37,961,889,0.93
21,1191,209,184,119,1283,269,0.97
21,259,757,146,56,332,785,0.95
21,1499,668,121,60,1560,699,0.95
21,557,649,109,41,612,670,0.94
21,708,882,70,40,743,902,0.94
21,912,862,95,36,960,880,0.93
21,1280,876,69,28,1315,890,0.93
21,960,803,74,30,997,819,0.92
22,1188,199,187,121,1282,260,0.97
22,253,744,147,57,327,773,0.95
22,1501,662,119,58,1561,691,0.95
22,911,854,96,35,959,872,0.94
22,553,641,111,42,608,662,0.94
22,711,876,71,39,747,896,0.93
22,962,798,75,30,1000,813,0.93
22,1286,872,60,26,1316,885,0.91
23,1188,192,186,121,1282,253,0.97
23,249,736,147,57,323,765,0.96
23,1501,657,119,60,1561,687,0.95
23,548,637,109,42,603,658,0.94
23,717,872,69,38,752,892,0.94
23,910,848,95,37,958,867,0.93
23,1282,867,68,28,1316,881,0.93
23,965,795,75,29,1003,810,0.93
24,1189,184,184,121,1281,245,0.97
24,247,727,147,58,321,757,0.96
24,1500,650,120,60,1560,681,0.95
24,543,630,111,42,599,651,0.93
24,721,867,68,40,755,887,0.93
24,910,842,94,37,957,860,0.93
24,1281,863,69,27,1316,876,0.92
24,967,789,79,31,1006,804,0.91
25,1189,180,183,122,1281,241,0.97
25,245,722,146,59,318,752,0.96
25,1502,648,118,59,1561,678,0.95
25,536,625,112,45,593,647,0.94
25,1282,860,69,27,1316,874,0.93
25,727,866,69,39,761,886,0.93
25,971,786,80,31,1011,802,0.93
25,909,839,95,36,957,857,0.92
26,1189,178,183,122,1280,240,0.97
26,244,719,146,59,317,749,0.95
26,1502,647,118,59,1561,677,0.95
26,731,865,68,38,765,884,0.93
26,973,785,79,30,1013,800,0.93
26,1281,860,69,27,1316,873,0.93
26,532,623,111,44,587,645,0.93
26,910,838,93,37,956,856,0.93
27,1189,176,182,123,1280,238,0.97
27,244,718,148,58,318,747,0.96
27,1501,646,119,59,1561,676,0.95
27,736,864,69,38,770,884,0.94
27,979,782,79,32,1018,799,0.94
27,1283,860,65,26,1316,873,0.93
27,908,836,96,36,956,854,0.93
27,529,620,106,43,583,642,0.92
28,1189,172,181,122,1280,234,0.97
28,248,713,145,60,321,743,0.95
28,1499,642,121,59,1560,672,0.95
28,741,863,66,37,774,882,0.94
28,982,781,80,30,1022,796,0.93
28,910,832,93,37,957,851,0.93
28,1285,857,63,26,1316,870,0.93
28,519,616,114,43,576,638,0.89
29,1188,166,183,122,1279,228,0.97
29,252,706,146,58,325,735,0.95
29,1500,636,117,59,1558,666,0.94
29,514,611,111,44,570,633,0.93
29,745,859,67,39,779,879,0.93
29,910,828,96,38,958,847,0.93
29,985,776,78,29,1024,791,0.92
29,1280,853,68,26,1314,866,0.92
30,1187,163,183,123,1279,225,0.97
30,257,703,145,58,329,732,0.95
30,1497,634,120,60,1557,664,0.95
30,748,857,68,39,782,877,0.94
30,910,826,96,36,958,844,0.93
30,989,774,80,31,1029,789,0.93
30,508,607,112,46,564,630,0.93
30,1280,851,67,27,1314,864,0.92
31,1187,155,180,123,1277,216,0.97
31,264,694,146,59,337,724,0.95
31,1497,627,116,59,1555,656,0.95
31,503,600,115,46,561,623,0.93
31,911,818,96,40,960,838,0.93
31,1279,845,68,29,1314,860,0.93
31,752,853,67,37,786,871,0.92
31,990,770,82,29,1031,785,0.92
32,1187,164,183,123,1279,226,0.97
32,270,707,142,57,341,736,0.95
32,1494,634,120,59,1554,664,0.95
32,758,859,66,38,791,878,0.94
32,996,774,81,32,1036,790,0.93
32,913,827,94,36,961,845,0.93
32,496,606,111,46,552,630,0.93
32,1279,851,67,27,1313,865,0.92
33,1186,157,182,124,1278,219,0.97
33,281,700,142,56,352,728,0.95
33,1494,627,117,59,1552,657,0.95
33,762,855,65,39,795,874,0.94
33,998,770,83,31,1040,786,0.94
33,916,821,93,36,963,839,0.93
33,489,599,114,45,547,622,0.93
33,1280,848,64,25,1312,861,0.91
34,1186,155,182,124,1278,218,0.97
34,291,700,140,56,362,729,0.95
34,1489,625,119,59,1549,655,0.95
34,484,598,115,46,542,622,0.94
34,1003,768,80,32,1043,785,0.94
34,766,854,64,38,798,874,0.93
34,917,821,95,35,964,838,0.93
34,1277,847,68,26,1311,860,0.93
35,1187,156,182,123,1278,218,0.97
35,302,700,141,56,372,729,0.96
35,1487,624,118,59,1546,653,0.95
35,1006,767,78,31,1046,783,0.94
35,483,596,111,48,538,620,0.93
35,920,820,93,36,967,839,0.93
35,770,854,64,38,802,873,0.93
35,1274,845,68,28,1309,859,0.92
36,1187,155,181,125,1278,217,0.97
36,313,701,140,59,383,730,0.95
36,1483,621,120,61,1543,652,0.95
36,922,820,94,37,970,839,0.94
36,473,595,117,48,531,619,0.93
36,773,855,64,36,805,873,0.93
36,1010,767,79,31,1050,783,0.93
36,1273,845,67,28,1307,859,0.93
37,1187,151,181,125,1277,214,0.97
37,328,699,137,58,396,728,0.95
37,926,818,92,36,972,836,0.94
37,1481,617,119,62,1540,648,0.94
37,778,853,63,38,810,872,0.93
37,469,591,116,48,528,615,0.93
37,1012,764,80,32,1053,780,0.92
37,1272,844,66,26,1306,857,0.92
38,1187,155,181,124,1278,218,0.97
38,340,705,137,57,408,734,0.95
38,1478,618,119,63,1538,649,0.94
38,780,855,64,38,813,875,0.93
38,928,821,92,37,975,840,0.93
38,1270,845,68,28,1304,860,0.93
38,1014,767,82,31,1055,783,0.93
38,465,594,115,47,523,618,0.92
39,1187,165,183,122,1279,226,0.97
39,353,718,136,54,421,745,0.95
39,1475,623,120,62,1535,654,0.94
39,1018,770,82,32,1059,786,0.94
39,784,861,62,37,815,880,0.93
39,456,598,118,48,515,622,0.93
39,931,830,94,36,978,848,0.93
39,1272,851,61,25,1303,864,0.92
40,1187,154,181,125,1277,217,0.97
40,367,709,131,54,433,737,0.95
40,786,855,63,38,818,874,0.94
40,1019,765,84,32,1061,782,0.93
40,1469,613,121,63,1530,645,0.93
40,935,821,91,36,981,840,0.93
40,1266,845,69,27,1301,858,0.93
40,455,591,117,47,514,614,0.92
41,1187,162,182,121,1279,223,0.97
41,385,719,131,52,451,745,0.96
41,790,859,62,38,821,878,0.94
41,1024,768,82,33,1065,785,0.94
41,1466,616,121,64,1527,648,0.94
41,940,827,92,35,986,845,0.94
41,1264,848,70,27,1299,862,0.93
41,448,594,120,46,508,617,0.92
42,1187,164,183,123,1279,226,0.97
42,399,724,133,53,465,751,0.96
42,1025,770,82,30,1066,785,0.93
42,944,830,91,34,989,848,0.93
42,1462,616,121,63,1522,648,0.93
42,1265,850,66,26,1298,864,0.92
42,792,861,62,37,824,880,0.92
42,443,595,121,47,504,619,0.91
43,1188,164,182,123,1279,225,0.97
43,417,725,131,51,482,751,0.95
43,947,830,93,34,993,848,0.94
43,1261,849,69,27,1296,863,0.94
43,1027,770,84,30,1069,785,0.94
43,796,861,60,37,826,880,0.93
43,1455,612,123,67,1516,645,0.93
43,439,595,121,46,500,618,0.92
44,1188,171,182,123,1280,232,0.97
44,429,734,129,52,494,760,0.95
44,950,836,92,34,996,853,0.94
44,436,598,121,50,497,623,0.94
44,796,865,62,36,827,884,0.93
44,1028,774,83,29,1069,788,0.93
44,1451,615,125,66,1513,648,0.93
44,1262,853,65,26,1295,867,0.92
45,1188,176,183,123,1280,237,0.97
45,448,743,129,50,513,768,0.95
45,1444,617,126,66,1507,650,0.95
45,431,600,121,50,492,625,0.94
45,955,839,92,36,1001,857,0.93
45,1256,855,71,28,1292,869,0.93
45,1029,777,87,30,1073,792,0.93
45,799,867,62,38,830,887,0.93
46,1189,185,184,120,1281,245,0.97
