frame_num,x,y,w,h,x_c,y_c,confidence
1,709,753,115,43,767,775,0.94
1,333,933,88,36,377,952,0.92
1,449,752,81,27,490,765,0.89
1,199,851,90,47,244,875,0.88
2,710,753,114,44,767,775,0.93
2,341,934,89,35,385,951,0.92
2,449,752,80,27,489,765,0.9
2,185,853,89,45,229,876,0.89
2,725,936,69,32,760,953,0.65
3,711,753,114,44,769,775,0.94
3,347,933,89,36,392,952,0.93
3,448,751,84,28,491,765,0.92
3,167,848,102,47,219,872,0.89
3,730,937,72,31,766,952,0.86
3,674,933,114,57,731,961,0.77
4,712,753,113,42,769,774,0.93
4,354,934,89,35,399,952,0.93
4,449,751,84,28,491,765,0.89
4,733,937,76,32,771,954,0.87
4,671,933,114,56,728,961,0.85
4,155,850,101,45,206,873,0.54
5,714,749,112,44,771,771,0.93
5,359,935,90,35,404,953,0.93
5,449,748,81,29,490,763,0.9
5,743,937,74,32,780,954,0.9
5,668,934,117,55,727,962,0.84
5,62,823,207,71,166,859,0.43
6,718,745,110,44,773,767,0.94
6,366,934,89,35,411,951,0.93
6,451,746,79,28,491,760,0.91
6,754,937,71,29,790,952,0.91
6,137,845,94,44,184,867,0.62
6,666,934,116,45,724,957,0.59
7,718,742,113,44,774,764,0.94
7,371,936,88,36,415,954,0.93
7,665,937,108,52,719,963,0.86
7,451,745,82,27,492,759,0.86
7,128,844,95,40,176,864,0.77
7,764,941,64,27,796,955,0.5
8,378,936,89,34,423,953,0.94
8,721,735,113,44,778,757,0.94
8,452,739,81,28,493,753,0.92
8,772,941,63,27,804,955,0.9
8,662,936,105,54,715,963,0.82
8,113,835,101,40,163,855,0.74
9,383,935,90,35,429,953,0.93
9,727,725,107,43,781,747,0.93
9,778,938,67,27,812,951,0.91
9,452,733,82,27,493,747,0.91
9,658,936,108,53,712,963,0.9
9,105,823,97,41,154,844,0.88
10,784,930,68,28,819,944,0.94
10,730,717,108,43,784,739,0.93
10,390,938,88,34,434,955,0.93
10,95,817,98,42,144,839,0.93
10,453,727,83,27,494,741,0.93
10,653,938,110,53,708,965,0.92
11,396,936,87,35,439,954,0.94
11,792,923,66,25,825,936,0.93
11,731,707,110,42,787,729,0.93
11,452,719,85,29,495,734,0.93
11,650,936,109,52,705,962,0.93
11,86,808,99,41,136,829,0.9
11,77,753,197,65,176,786,0.89
12,735,701,111,42,791,723,0.94
12,400,939,88,35,444,957,0.93
12,645,927,111,64,700,959,0.93
12,799,917,65,27,831,931,0.93
12,455,716,80,29,495,731,0.92
12,77,802,100,44,127,824,0.89
12,75,743,200,67,175,776,0.88
13,81,730,183,62,173,761,0.93
13,740,693,107,42,794,714,0.93
13,71,792,99,43,121,814,0.92
13,405,931,87,35,449,949,0.92
13,455,709,81,28,495,724,0.92
13,641,914,112,64,698,946,0.92
13,806,911,61,25,837,924,0.92
14,82,711,194,66,179,745,0.95
14,745,684,108,38,799,703,0.93
14,415,920,83,33,457,936,0.93
14,812,902,61,25,843,915,0.93
14,453,701,86,30,496,716,0.93
14,638,899,111,61,694,930,0.9
14,60,782,102,43,112,804,0.9
15,419,912,84,34,462,929,0.94
15,633,889,109,61,687,920,0.94
15,750,677,108,42,804,698,0.94
15,83,703,192,65,179,736,0.93
15,455,697,84,30,497,712,0.93
15,815,896,63,26,847,909,0.93
15,56,776,100,43,106,797,0.88
16,626,880,113,63,683,911,0.94
16,751,671,111,41,807,691,0.93
16,425,905,82,32,466,922,0.93
16,820,891,65,26,853,904,0.93
16,455,692,85,30,498,707,0.92
16,77,694,196,66,175,727,0.91
16,47,765,102,44,98,787,0.81
17,622,870,112,62,678,901,0.95
17,430,898,83,33,472,915,0.93
17,460,688,78,30,499,703,0.92
17,759,665,106,40,812,685,0.92
17,825,886,64,27,857,900,0.91
17,89,684,185,65,182,717,0.7
17,38,757,104,49,91,781,0.62
18,616,864,114,64,673,896,0.95
18,432,894,83,33,474,911,0.93
18,762,662,106,42,816,683,0.92
18,90,680,180,64,181,712,0.92
18,831,884,59,25,860,897,0.92
18,457,686,82,30,499,701,0.9
18,37,756,101,48,88,780,0.86
19,608,856,115,62,665,887,0.95
19,438,888,82,33,479,905,0.94
19,832,879,65,26,864,892,0.93
19,769,657,104,41,821,678,0.92
19,459,683,79,28,499,697,0.91
19,34,750,99,48,84,775,0.82
19,88,673,177,64,177,706,0.81
20,601,847,116,63,660,879,0.95
