Frame,Box_leftX,Box_Uppery,Box_RightX,Box_LowerY
4,744,811,852,851
5,744,811,852,851
6,744,811,852,851
7,744,811,852,850
8,744,811,852,850
9,744,811,852,850
10,744,811,852,851
11,744,811,852,851
12,744,811,852,851
13,744,811,852,851
14,744,811,852,851
15,744,811,852,851
16,744,811,852,851
17,744,811,852,851
18,744,811,852,851
19,744,811,852,851
20,744,811,852,851
21,744,811,852,851
22,744,811,852,851
23,744,811,852,851
24,744,811,852,851
25,744,811,852,851
26,744,811,852,851
27,744,811,852,851
28,744,811,852,851
29,744,811,852,851
30,744,811,852,851
31,744,811,852,851
32,744,811,852,851
33,744,811,852,851
34,744,811,852,851
35,744,811,852,851
36,744,811,852,851
37,744,811,852,851
38,744,811,852,851
39,744,811,852,851
40,744,811,852,851
41,744,811,852,851
42,744,811,852,851
43,744,811,852,851
44,744,811,852,851
45,744,811,852,851
46,744,811,852,851
47,744,811,852,851
48,744,811,852,851
49,744,811,852,851
50,744,811,852,851
51,744,811,852,851
52,744,811,852,851
53,744,811,852,851
54,744,811,852,851
55,744,811,852,851
56,744,811,852,851
57,744,811,852,851
58,744,811,852,851
59,744,811,851,851
60,744,811,851,851
61,743,810,851,851
62,743,810,851,851
63,743,809,851,852
64,743,809,850,852
65,743,808,850,852
66,742,806,849,851
67,742,805,849,850
68,741,803,848,848
69,740,800,847,845
70,739,797,846,842
71,738,793,845,837
72,737,789,844,833
73,735,785,843,827
74,734,780,841,822
75,732,776,840,817
76,731,771,839,812
77,729,767,838,807
78,727,763,836,803
79,726,759,835,798
80,724,755,834,794
81,722,751,832,790
82,720,748,831,786
83,718,743,829,782
84,716,739,828,777
85,714,735,826,773
86,712,730,824,768
87,710,725,823,764
88,708,721,821,759
89,706,716,819,754
90,704,711,818,749
91,701,705,816,744
92,699,699,814,739
93,697,692,812,732
94,695,684,810,725
95,692,675,809,718
96,690,665,807,712
97,688,653,806,705
98,686,640,805,699
99,684,628,804,693
100,683,617,804,687
101,683,607,804,680
102,683,599,804,673
103,684,594,804,665
104,685,590,805,657
105,687,589,806,650
106,689,589,807,643
107,691,588,808,639
108,693,586,809,637
109,694,586,811,636
110,695,586,812,636
111,696,587,813,637
112,696,588,814,639
113,697,585,816,645
114,698,583,818,652
115,699,582,820,659
116,702,583,822,665
