Frame,Box_leftX,Box_Uppery,Box_RightX,Box_LowerY
4,1008,900,1118,943
5,1008,900,1118,943
6,1008,900,1118,943
7,1008,900,1118,943
8,1008,900,1118,943
9,1008,900,1118,943
10,1008,900,1118,943
11,1008,900,1118,943
12,1008,900,1118,943
13,1008,900,1118,943
14,1008,900,1118,943
15,1008,900,1118,943
16,1008,900,1118,943
17,1008,900,1118,943
18,1008,900,1118,943
19,1008,900,1118,943
20,1008,900,1118,943
21,1008,900,1118,943
22,1008,900,1118,943
23,1008,900,1118,943
24,1008,900,1118,943
25,1008,900,1118,943
26,1008,900,1118,943
27,1008,900,1118,943
28,1008,900,1118,943
29,1008,900,1118,943
30,1008,900,1118,943
31,1008,900,1118,943
32,1008,900,1118,943
33,1008,900,1118,943
34,1008,900,1118,943
35,1008,900,1118,943
36,1008,900,1118,943
37,1008,900,1118,943
38,1008,900,1118,943
39,1008,900,1118,943
40,1008,900,1118,943
41,1008,900,1118,943
42,1008,900,1118,943
43,1008,900,1118,943
44,1008,900,1118,943
45,1008,900,1118,943
46,1008,900,1118,943
47,1008,900,1118,943
48,1008,900,1118,943
49,1008,900,1118,943
50,1008,900,1118,943
51,1008,900,1118,943
52,1008,900,1118,943
53,1008,900,1118,943
54,1008,900,1118,943
55,1008,900,1118,943
56,1008,900,1118,943
57,1008,900,1118,943
58,1008,900,1118,943
59,1008,900,1118,943
60,1008,900,1118,942
61,1008,900,1118,942
62,1007,900,1118,942
63,1007,901,1118,941
64,1006,900,1118,941
65,1006,899,1117,941
66,1005,897,1117,940
67,1004,896,1116,939
68,1003,893,1115,937
69,1002,891,1114,934
70,1001,887,1113,930
71,999,883,1111,926
72,998,879,1109,921
73,996,875,1107,916
74,995,870,1105,910
75,993,866,1103,905
76,991,861,1100,900
77,989,857,1098,895
78,987,852,1096,891
79,985,848,1093,886
80,983,844,1090,882
81,981,840,1088,878
82,979,836,1085,874
83,976,832,1082,870
84,974,828,1079,865
85,971,824,1076,861
86,969,820,1073,857
87,966,816,1069,852
88,963,812,1066,848
89,960,807,1063,844
90,957,803,1059,840
91,953,798,1056,835
92,950,792,1052,830
93,947,786,1049,824
94,944,780,1045,817
95,940,774,1041,809
96,937,766,1037,802
97,933,757,1034,795
98,929,749,1031,789
99,926,739,1028,784
100,923,730,1026,778
101,921,722,1023,772
102,919,716,1021,765
103,918,712,1020,757
104,917,707,1018,750
105,917,703,1017,744
106,916,700,1016,741
107,916,697,1015,740
108,915,693,1015,740
109,913,691,1014,741
110,912,691,1013,741
111,911,694,1011,740
112,910,698,1010,738
113,908,700,1009,740
114,906,701,1008,744
115,904,702,1008,751
116,903,702,1008,757
117,903,704,1008,762
118,903,707,1009,766
119,904,711,1010,769
120,906,715,1012,772
121,909,720,1015,773
122,912,725,1018,773
123,916,728,1022,771
124,920,730,1026,771
125,924,730,1030,771
126,928,729,1034,770
127,932,725,1039,769
128,936,721,1044,766
129,939,715,1048,762
130,943,709,1052,756
131,946,701,1056,749
132,950,692,1060,741
133,953,683,1063,733
134,956,673,1067,723
135,959,663,1070,714
136,961,652,1073,704
137,963,642,1076,694
138,966,631,1079,684
139,968,621,1081,674
140,970,610,1084,664
141,972,601,1086,655
142,974,591,1089,647
143,975,583,1091,639
144,977,575,1093,631
145,979,567,1095,625
