,Model,mAP,FN_count,mean_center_distance
0,best_1024T0.6,0.14607945784901227,3603,170.53400085048872
1,best_736T0.4,0.12745339648303095,3701,166.37867274763684
2,best_736T0.2,0.1359164635479849,3691,166.2349180228178
3,best_1024T0.8,0.13793918018114068,3624,170.38486159121615
4,best_640T0.2,0.11064313543153784,3765,180.65609247322274
5,best_640T0.4,0.10206187354551588,3771,180.70156939566178
6,best_1024T0.2,0.13816664643732118,3583,171.32445474101857
7,best_736T0.6,0.12876554947923427,3725,166.02260809694826
8,best_736T0.8,0.1385646099766148,3793,165.42937618881695
9,best_640T0.6,0.09946814715623963,3779,180.57884616657185
10,best_640T0.8,0.09033923683933748,3821,177.81201933722292
11,best_1024T0.4,0.1304978220287745,3593,170.87877950011818
